ticker,nameOfIssuer,cusip,value,shares,allocation_percent
COST,COSTCO WHOLESALE CORPORATION,22160K105,218952366000.0,234056,6.708508379798185
AMZN,AMAZON COM INC,023135106,177825474000.0,746100,5.448416494711843
TPD,SOMNIGROUP INTERNATIONAL INC,88023U101,166032776000.0,2117765,5.087098575208614
DKS,DICKS SPORTING GOODS INC,253393102,141284712000.0,622921,4.328839608836989
LYV,LIVE NATION ENTERTAINMENT IN,538034109,127609359000.0,696900,3.9098387920237183
HUM,HUMANA INC,444859102,122423204000.0,308200,3.750939553289608
WMT,WALMART INC,931142103,116340672000.0,1027200,3.5645761097797504
HD,HOME DEPOT INC,437076102,115855380000.0,328500,3.549707188707443
PLNT,PLANET FITNESS MASTER ISSUER,72703H101,108544485000.0,2080592,3.3257077806749002
VRSK,VERISK ANALYTICS INC,92345Y106,99387808000.0,553600,3.045155231698995
SPHR,SPHERE ENTERTAINMENT CO,55826T102,95280873000.0,550661,2.9193223468294773
NVDA,NVIDIA CORPORATION,67066G104,93368597000.0,466633,2.860731888069662
CLH,CLEAN HARBORS INC,184496107,90249686000.0,302091,2.7651711916424553
CNK,CINEMARK HLDGS INC,17243V102,87749188000.0,2765496,2.688558126923764
RACE,FERRARI N V,N3167Y103,71703054000.0,192600,2.1969186604547666
COF,CAPITAL ONE FINL CORP,14040H105,64113337000.0,319576,1.9643763909878236
BE,BLOOM ENERGY CORP,093712107,64111860000.0,211800,1.9643311370037817
HUT,HUT 8 CORP,44812J104,61197395000.0,530100,1.8750344866303916
MSCI,MSCI INC,55354G100,61156368000.0,109200,1.8737774553485373
USFD,US FOODS HLDG CORP,912008109,54655999000.0,534533,1.674611852779619
RRX,REGAL REXNORD CORPORATION,758750103,52994655000.0,222489,1.6237097303256078
FTAI,FTAI AVIATION LTD,G3730V105,51427753000.0,190100,1.5757012278857552
SN,SHARKNINJA INC,G8068L108,47002095000.0,308676,1.440102949952002
