ticker,nameOfIssuer,cusip,value,shares,allocation_percent
N/A,STATE STR SPDR S&P 500 ETF T,78462F953,64406448159000.0,86246700,17.37578932837984
N/A,STATE STR SPDR S&P 500 ETF T,78462F903,55468806091000.0,74278300,14.964562035071443
N/A,INVESCO QQQ TR,46090E903,33752378520000.0,45834300,9.105830786498673
N/A,INVESCO QQQ TR,46090E953,28433876800000.0,38612000,7.670987411791754
N/A,ISHARES TR,464287955,14665715625000.0,48812500,3.956566342873534
N/A,MICRON TECHNOLOGY INC,595112903,11073796544000.0,9593600,2.9875262697124376
N/A,ISHARES TR,464287905,10076702415000.0,33538700,2.718526844634727
N/A,SPDR GOLD TR,78463V907,9521002128000.0,25845600,2.568608142507338
N/A,MICRON TECHNOLOGY INC,595112953,8690764839000.0,7529100,2.3446239198311285
N/A,TESLA INC,88160R901,6089530920000.0,14478200,1.6428542389631742
N/A,ON SEMICONDUCTOR CORP,682189905,5775505324000.0,61090600,1.5581353520227763
N/A,NVIDIA CORPORATION,67066G954,5261826757000.0,26297300,1.4195534115831867
N/A,SPDR GOLD TR,78463V957,4451872300000.0,12085000,1.2010411598957338
N/A,ON SEMICONDUCTOR CORP,682189955,4110939544000.0,43483600,1.1090631683633423
N/A,NVIDIA CORPORATION,67066G904,3906457115000.0,19523500,1.0538972073575748
N/A,TESLA INC,88160R951,3428352660000.0,8151100,0.9249125711215986
N/A,ADVANCED MICRO DEVICES INC,007903907,3332448306000.0,5736600,0.8990391702679373
N/A,ADVANCED MICRO DEVICES INC,007903957,3184432438000.0,5481800,0.8591069489897811
N/A,STATE STR SPDR DOW JONES IND,78467X959,2580031971000.0,4938900,0.6960497476573883
N/A,APPLE INC,037833900,2539249744000.0,8775400,0.6850473805815827
N/A,TAIWAN SEMICONDUCTOR MANUFAC,874039950,2509821378000.0,5255400,0.6771080965112655
N/A,VANECK ETF TRUST,92189F956,2295024699000.0,3499100,0.6191595222702856
N/A,ALPHABET INC,02079K955,2280056337000.0,6380100,0.6151213069651837
N/A,MICROSOFT CORP,594918954,2271169572000.0,6088600,0.6127238054592846
N/A,ALPHABET INC,02079K905,2213156673000.0,6192900,0.5970728894382041
N/A,MICROSOFT CORP,594918904,2010316686000.0,5389300,0.542350031987932
N/A,GOLDMAN SACHS GROUP INC,38141G904,1954270251000.0,1932300,0.5272296352729541
N/A,META PLATFORMS INC,30303M902,1914622710000.0,3399000,0.5165333876223523
N/A,AMAZON COM INC,023135956,1892014422000.0,7938300,0.51043404725206
N/A,BROADCOM INC,11135F951,1742938500000.0,4614000,0.4702158410219742
N/A,META PLATFORMS INC,30303M952,1712795903000.0,3040700,0.4620838692978191
N/A,ISHARES TR,464287952,1602676184000.0,18545200,0.4323753992154332
N/A,AMAZON COM INC,023135906,1595519462000.0,6694300,0.43044463455896914
N/A,APPLE INC,037833950,1574812864000.0,5442400,0.4248583385460726
N/A,ALPHABET INC,02079K957,1401801442000.0,3967400,0.37818273220532234
N/A,STATE STR SPDR DOW JONES IND,78467X909,1352676666000.0,2589400,0.36492968405597226
N/A,GOLDMAN SACHS GROUP INC,38141G954,1336019770000.0,1321000,0.360435930339788
N/A,VANECK ETF TRUST,92189F906,1298071899000.0,1979100,0.350198225407997
N/A,ISHARES SILVER TR,46428Q909,1235183735000.0,23100500,0.3332320439130172
N/A,ISHARES TR,464287902,1218582494000.0,14100700,0.3287533049908903
N/A,BROADCOM INC,11135F901,1197165300000.0,3169200,0.32297530198674484
SPY,STATE STR SPDR S&P 500 ETF T,78462F103,1155268125000.0,1547020,0.31167214047010505
N/A,ALPHABET INC,02079K907,1134365965000.0,3210500,0.30603308507969634
N/A,ISHARES SILVER TR,46428Q959,1034740746000.0,19351800,0.27915585668690834
N/A,ASML HLDG NV,N07059950,1012624960000.0,509000,0.2731893851712169
N/A,TAIWAN SEMICONDUCTOR MANUFAC,874039900,930354117000.0,1948100,0.2509940790070397
N/A,ORACLE CORP,68389X955,924290850000.0,6307000,0.24935831033720662
N/A,APPLIED MATLS INC,038222905,882710700000.0,1220900,0.23814067689685872
N/A,JPMORGAN CHASE & CO,46625H950,873381906000.0,2668200,0.23562392331293666
N/A,SELECT SECTOR SPDR TR,81369Y955,867045252000.0,16173200,0.23391439937398228
N/A,PALANTIR TECHNOLOGIES INC,69608A958,835788879000.0,7163700,0.22548194939511523
MU,MICRON TECHNOLOGY INC,595112103,801960292000.0,694765,0.21635555882723803
N/A,SPACE EXPLORATION TECHN CORP,84615Q903,759934022000.0,4447700,0.20501756962505646
N/A,ISHARES INC,464286900,757909800000.0,21968400,0.2044714681704468
N/A,MARVELL TECHNOLOGY INC,573874954,755538407000.0,2536300,0.2038317057497483
N/A,LAM RESEARCH CORP,512807906,747277585000.0,1724500,0.20160307326256482
N/A,SPDR SERIES TRUST,78464A958,703328025000.0,9396500,0.1897462123819625
TSM,TAIWAN SEMICONDUCTOR MANUFAC,874039100,702596686000.0,1471191,0.18954890927404608
N/A,JPMORGAN CHASE & CO,46625H900,701566389000.0,2143300,0.18927095226617838
N/A,CITIGROUP INC,172967954,688295288000.0,4917800,0.18569062977172285
N/A,INTEL CORP,458140950,644685673000.0,4617100,0.17392548040249983
N/A,SELECT SECTOR SPDR TR,81369Y956,607238496000.0,11433600,0.16382285439076522
N/A,APPLIED MATLS INC,038222955,583605600000.0,807200,0.1574470918102583
N/A,ASML HLDG NV,N07059900,554854816000.0,278900,0.14969060810265694
N/A,MARVELL TECHNOLOGY INC,573874904,554283923000.0,1860700,0.1495365906590532
N/A,SELECT SECTOR SPDR TR,81369Y905,538748334000.0,10049400,0.14534534693622148
N/A,EXXON MOBIL CORP,30231G902,528668896000.0,3866800,0.14262608207621705
N/A,ISHARES INC,464286950,516837600000.0,14980800,0.13943419504232576
N/A,INTEL CORP,458140900,509537796000.0,3649200,0.13746482924017292
N/A,CITIGROUP INC,172967904,490993676000.0,3508100,0.13246193385297916
NVDA,NVIDIA CORPORATION,67066G104,480124159000.0,2399541,0.12952951880927127
N/A,PALANTIR TECHNOLOGIES INC,69608A908,472875177000.0,4053100,0.12757386393809644
N/A,INTERNATIONAL BUSINESS MACHS,459200901,446420875000.0,1587500,0.120436932908356
N/A,CROWDSTRIKE HLDGS INC,22788C955,422092734000.0,553100,0.11387360478127855
N/A,MORGAN STANLEY,617446958,398346624000.0,1905600,0.10746729894509999
N/A,WELLS FARGO & CO,949746951,394192800000.0,4770000,0.10634666626321404
N/A,SPACE EXPLORATION TECHN CORP,84615Q953,390500530000.0,2285500,0.10535055317986072
N/A,ISHARES TR,464288953,377986202000.0,4726600,0.10197439546382839
N/A,ARM HOLDINGS PLC,042068955,368008203000.0,1037900,0.0992824971601869
N/A,ORACLE CORP,68389X905,358505265000.0,2446300,0.09671876241920226
N/A,ISHARES BITCOIN TRUST ETF,46438F901,343080082000.0,10305800,0.09255730440030896
N/A,BANK OF AMER CORP,060505904,341162052000.0,5987400,0.0920398517824711
N/A,PAYPAL HLDGS INC,70450Y903,331536040000.0,7678000,0.0894429137216803
N/A,BANK OF AMER CORP,060505954,328882862000.0,5771900,0.08872713039102866
N/A,SELECT SECTOR SPDR TR,81369Y906,324985401000.0,6119100,0.08767566018598966
N/A,LAM RESEARCH CORP,512807956,316330900000.0,730000,0.08534081964724402
N/A,SALESFORCE INC,79466L902,304218054000.0,1941900,0.08207297510249408
N/A,NETFLIX INC.,64110L956,297088260000.0,4160900,0.08014947517290767
N/A,DELL TECHNOLOGIES INC,24703L952,292443588000.0,677800,0.07889641985813253
N/A,BLACKSTONE INC,09260D957,291397988000.0,2476400,0.07861433435518876
N/A,COREWEAVE INC,21873S908,287113176000.0,2884400,0.07745836328782117
N/A,VISA INC,92826C909,286102751000.0,833900,0.07718576741529634
N/A,CROWDSTRIKE HLDGS INC,22788C905,283353882000.0,371300,0.07644416824315445
DON,STATE STR SPDR DOW JONES IND,78467X109,271866905000.0,520429,0.07334517275315001
N/A,VISA INC,92826C959,271555735000.0,791500,0.07326122425855264
N/A,QUALCOMM INC,747525953,268296601000.0,1451900,0.07238196406961694
N/A,QUALCOMM INC,747525903,265118213000.0,1434700,0.07152448780954572
N/A,PALO ALTO NETWORKS INC,697435955,255082960000.0,748000,0.06881714332822106
N/A,COSTCO WHOLESALE CORPORATION,22160K905,250893054000.0,268200,0.0676867763223898
N/A,NETFLIX INC.,64110L906,242360160000.0,3394400,0.0653847433312307
N/A,COINBASE GLOBAL INC,19260Q907,233684715000.0,1598500,0.063044252449358
N/A,WELLS FARGO & CO,949746901,233474528000.0,2825200,0.06298754748990196
N/A,SNOWFLAKE INC,833445959,232638450000.0,914100,0.06276198754046601
N/A,NOVO-NORDISK A S,670100955,229584660000.0,4789000,0.06193812575007322
N/A,ISHARES TR,464287902,229461466000.0,2103800,0.061904890056261395
N/A,MASTERCARD INCORPORATED,57636Q954,228706080000.0,445300,0.06170109946738735
N/A,DELL TECHNOLOGIES INC,24703L902,227638296000.0,527600,0.06141302908992435
